TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Paralichthys,American flounders,Trawl,high,destructive,500048,Large reef assoc. fish (>=90 cm),demersal
Tenualosa toli,Toli shad,Gillnet,high,non-destructive,601600,Medium pelagics (30 - 89 cm),pelagic
Caranx,Jacks,Gillnet,high,non-destructive,500467,Large pelagics (>=90 cm),pelagic
Spratelloides gracilis,Silverstriped round herring,Trawl midwater,high,non-destructive,601458,Small pelagics (<30 cm),pelagic
Cephalopoda,Cephalopods,Trawl midwater,high,non-destructive,290002,Cephalopods,pelagic
Balistidae,Triggerfishes,Other,low,non-destructive,400445,Medium reef assoc. fish (30 - 89 cm),pelagic
Pleuronectiformes,Flatfishes,Trawl,high,destructive,300061,Small to medium flatfishes (<90 cm),demersal
Odontesthes regia,Silverside,Trawl midwater,high,non-destructive,608172,Small pelagics (<30 cm),pelagic
Sarpa salpa,Salema,Trawl,high,destructive,600204,Medium benthopelagics (30 - 89 cm),demersal
Sarda chiliensis chiliensis,Eastern Pacific bonito,Gillnet,high,non-destructive,NA,NA,pelagic
Trachurus,Jack and horse mackerels,Gillnet,high,non-destructive,500661,Medium pelagics (30 - 89 cm),pelagic
Microgadus proximus,Pacific tomcod,Seine,high,non-destructive,601879,Medium demersals (30 - 89 cm),demersal
Synodontidae,Lizardfishes,Trawl,high,destructive,400160,Medium demersals (30 - 89 cm),demersal
Parapenaeus longirostris,Deepwater rose shrimp,Trawl,high,destructive,690109,Shrimps,demersal
Sardinella maderensis,Madeiran sardinella,Purse seine Non-tuna,low,non-destructive,601047,Medium pelagics (30 - 89 cm),pelagic
Clupeiformes,Herrings,Seine,high,non-destructive,300028,Small pelagics (<30 cm),pelagic
Ruvettus pretiosus,Oilfish,Longline Non-tuna,high,non-destructive,601044,Large benthopelagics (>=90 cm),pelagic
Sprattus fuegensis,Falkland sprat,Gillnet,high,non-destructive,601466,Small pelagics (<30 cm),pelagic
Sphoeroides maculatus,Northern puffer,Trap,high,non-destructive,601181,Medium demersals (30 - 89 cm),demersal
Scomberomorus brasiliensis,Serra Spanish mackerel,Gillnet,high,non-destructive,600119,Large pelagics (>=90 cm),pelagic
Dicentrarchus labrax,European seabass,Lines Non-tuna,low,non-destructive,600063,Large demersals (>=90 cm),demersal
Spicara,Picarels,Purse seine Non-tuna,low,non-destructive,500679,Small demersals (<30 cm),pelagic
Carcharhinidae,Requiem sharks,Lines Non-tuna,low,non-destructive,400011,Large sharks (>=90 cm),pelagic
Paralomis spinosissima,Antarctic stone crab,Trap,high,non-destructive,690018,"Lobsters, crabs",demersal
Sebastes,Redfishes,Trawl,high,destructive,501135,Large reef assoc. fish (>=90 cm),demersal
Trachurus symmetricus,Pacific jack mackerel,Trawl midwater,high,non-destructive,600368,Medium pelagics (30 - 89 cm),pelagic
Trichiurus lepturus,Largehead hairtail,Trawl midwater,high,non-destructive,601288,Large benthopelagics (>=90 cm),pelagic
Lithognathus mormyrus,Striped seabream,Trawl,high,destructive,600706,Medium benthopelagics (30 - 89 cm),demersal
Monacanthidae,Filefishes,Other,low,non-destructive,400517,Large reef assoc. fish (>=90 cm),pelagic
Polynemidae,Threadfins,Gillnet,high,non-destructive,400361,Small demersals (<30 cm),demersal
Centrolophidae,Medusafishes,Purse seine Non-tuna,low,non-destructive,400421,Medium pelagics (30 - 89 cm),pelagic
Engraulis capensis,Cape anchovy,Gillnet,high,non-destructive,601661,Small pelagics (<30 cm),pelagic
Osmeridae,Smelts,Purse seine Non-tuna,low,non-destructive,400080,Small pelagics (<30 cm),pelagic
Platycephalidae,Flatheads,Lines Non-tuna,low,non-destructive,400273,Medium demersals (30 - 89 cm),demersal
Sphyraena,Barracudas,Lines Non-tuna,low,non-destructive,500372,Large pelagics (>=90 cm),pelagic
Homarus gammarus,European lobster,Trap,high,non-destructive,690125,"Lobsters, crabs",demersal
Merluccius merluccius,European hake,Gillnet,high,non-destructive,600030,Large demersals (>=90 cm),demersal
Makaira mazara,Indo-Pacific blue marlin,Lines Non-tuna,low,non-destructive,600218,Large pelagics (>=90 cm),pelagic
Sciaenidae,Drums or croakers,Trawl midwater,high,non-destructive,400331,Medium demersals (30 - 89 cm),pelagic
Aphanopus carbo,Black scabbardfish,Trawl,high,destructive,600646,Large benthopelagics (>=90 cm),demersal
Teuthida,Squids,Purse seine Non-tuna,low,non-destructive,390002,Cephalopods,pelagic
Trichiurus lepturus,Largehead hairtail,Seine,high,non-destructive,601288,Large benthopelagics (>=90 cm),pelagic
Trachurus murphyi,Inca scad,Trawl midwater,high,non-destructive,600367,Medium pelagics (30 - 89 cm),pelagic
Clupeiformes,Herrings,Gillnet,high,non-destructive,300028,Small pelagics (<30 cm),pelagic
Limanda ferruginea,Yellowtail flounder,Trawl,high,destructive,600521,Small to medium flatfishes (<90 cm),demersal
Mytilus galloprovincialis,Mediterranean mussel,Other,low,non-destructive,690241,Other demersal invertebrates,demersal
Mullus barbatus barbatus,Red mullet,Trawl,high,destructive,600790,Medium demersals (30 - 89 cm),demersal
Homaridae/Palinuridae,Lobsters spiny-rock lobsters,Trap,high,non-destructive,NA,NA,demersal
Dussumieria acuta,Rainbow sardine,Trawl midwater,high,non-destructive,601453,Small pelagics (<30 cm),pelagic
Sparidae,Porgies,Trawl midwater,high,non-destructive,400330,Medium benthopelagics (30 - 89 cm),pelagic
Psettodes erumei,Indian spiny turbot,Trawl,high,destructive,600513,Small to medium flatfishes (<90 cm),demersal
Stenodus leucichthys,Inconnu,Lines Non-tuna,low,non-destructive,602692,Large demersals (>=90 cm),demersal
Berycidae,Alfonsinos,Trawl,high,destructive,400240,Medium benthopelagics (30 - 89 cm),demersal
Pseudotolithus,Croakers,Trawl midwater,high,non-destructive,503152,Large demersals (>=90 cm),pelagic
Gerreidae,Mojarras,Trap,high,non-destructive,400326,Small benthopelagics (<30 cm),demersal
Lepidocybium flavobrunneum,Escolar,Longline Non-tuna,high,non-destructive,601042,Large bathypelagics (>=90 cm),pelagic
Pecten yessoensis,Yesso scallop,Trap,high,non-destructive,690445,Other demersal invertebrates,demersal
Buccinum undatum,Whelk,Other,low,non-destructive,690434,Other demersal invertebrates,demersal
Thunnus thynnus,Atlantic bluefin tuna,Pole and Line Tuna,low,non-destructive,600147,Large pelagics (>=90 cm),pelagic
Pollachius pollachius,Pollack,Lines Non-tuna,low,non-destructive,600034,Large benthopelagics (>=90 cm),pelagic
Atherinidae,Silversides,Lines Non-tuna,low,non-destructive,400218,Small pelagics (<30 cm),pelagic
Sepiida,Cuttlefishes,Gillnet,high,non-destructive,390006,Cephalopods,pelagic
Merluccius australis,Southern hake,Trawl,high,destructive,600322,Large benthopelagics (>=90 cm),demersal
Lophius americanus,American angler,Trawl,high,destructive,600532,Large demersals (>=90 cm),demersal
Merluccius,Hakes,Gillnet,high,non-destructive,500654,Medium bathydemersals (30 - 89 cm),demersal
Lophiidae,Goosefishes,Trawl,high,destructive,400190,Medium bathydemersals (30 - 89 cm),demersal
Atherinidae,Silversides,Purse seine Non-tuna,low,non-destructive,400218,Small pelagics (<30 cm),pelagic
Crassostrea,Cupped oysters,Dredge,high,destructive,590014,Other demersal invertebrates,demersal
Merlangius merlangus,Whiting,Seine,high,non-destructive,600029,Medium benthopelagics (30 - 89 cm),pelagic
Sarda chiliensis lineolata,Pacific bonito,Lines Non-tuna,low,non-destructive,604796,Large pelagics (>=90 cm),pelagic
Lateolabrax japonicus,Japanese seaperch,Seine,high,non-destructive,604589,Medium reef assoc. fish (30 - 89 cm),pelagic
Peristediidae,Armored searobins or armored gurnards,Lines Non-tuna,low,non-destructive,400581,Medium bathydemersals (30 - 89 cm),demersal
Alopias vulpinus,Thintail thresher,Lines Non-tuna,low,non-destructive,602535,Large sharks (>=90 cm),pelagic
Stolephorus,Indo-Pacific anchovies,Gillnet,high,non-destructive,507720,Small pelagics (<30 cm),pelagic
Hemiramphus,Halfbeaks,Seine,high,non-destructive,509289,Medium pelagics (30 - 89 cm),pelagic
Thunnus albacares,Yellowfin tuna,Gillnet,high,non-destructive,600143,Large pelagics (>=90 cm),pelagic
Engraulidae,Anchovies,Purse seine Non-tuna,low,non-destructive,400454,Small pelagics (<30 cm),pelagic
Scomber japonicus,Chub mackerel,Purse seine Non-tuna,low,non-destructive,600117,Medium pelagics (30 - 89 cm),pelagic
Pagrus pagrus,Common seabream,Trawl,high,destructive,601756,Medium benthopelagics (30 - 89 cm),demersal
Serranidae,Sea basses groupers fairy basslets,Lines Non-tuna,low,non-destructive,400289,Medium reef assoc. fish (30 - 89 cm),pelagic
Scomberomorus sierra,Pacific sierra,Purse seine Tuna,low,non-destructive,600136,Large pelagics (>=90 cm),pelagic
Eleginus nawaga,Navaga,Trawl,high,destructive,600314,Medium demersals (30 - 89 cm),demersal
Clams cockles arkshells,Clams cockles arkshells,Other,low,non-destructive,NA,NA,demersal
Trachurus murphyi,Inca scad,Purse seine Non-tuna,low,non-destructive,600367,Medium pelagics (30 - 89 cm),pelagic
Crangonidae,Crongonid shrimp,Trawl,high,destructive,490044,Shrimps,demersal
Aequipecten opercularis,Queen scallop,Dredge,high,destructive,690314,Other demersal invertebrates,demersal
Platycephalus indicus,Bartail flathead,Seine,high,non-destructive,600950,Medium demersals (30 - 89 cm),demersal
Marine animals,Marine animals,Trawl,high,destructive,NA,NA,demersal
Ostraciidae,Boxfishes (cowfish and trunkfish),Other,low,non-destructive,400446,Medium reef assoc. fish (30 - 89 cm),pelagic
Harengula,Herring,Trawl midwater,high,non-destructive,501941,Small pelagics (<30 cm),pelagic
Nemipteridae,Threadfin breams Whiptail breams,Trawl,high,destructive,400324,Small reef assoc. fish (<30 cm),demersal
Zeus faber,John dory,Trawl,high,destructive,601370,Medium benthopelagics (30 - 89 cm),demersal
Sphyrna,Hammerhead sharks,Gillnet,high,non-destructive,500693,Large sharks (>=90 cm),pelagic
Lepidorhombus whiffiagonis,Megrim,Trawl,high,destructive,600028,Small to medium flatfishes (<90 cm),demersal
Chirocentrus,Wolf herring,Purse seine Non-tuna,low,non-destructive,500856,Large benthopelagics (>=90 cm),pelagic
Thunnus thynnus,Atlantic bluefin tuna,Lines Non-tuna,low,non-destructive,600147,Large pelagics (>=90 cm),pelagic
Xiphias gladius,Swordfish,Gillnet,high,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Menticirrhus,Kingcroakers,Trawl midwater,high,non-destructive,502790,Medium demersals (30 - 89 cm),pelagic
Thunnus albacares,Yellowfin tuna,Purse seine Tuna,low,non-destructive,600143,Large pelagics (>=90 cm),pelagic
Lophius piscatorius,Angler,Trawl,high,destructive,600716,Large bathydemersals (>=90 cm),demersal
Gadidae,Cods and haddocks,Purse seine Non-tuna,low,non-destructive,400183,Medium demersals (30 - 89 cm),demersal
Sepiida,Cuttlefishes,Trawl midwater,high,non-destructive,390006,Cephalopods,pelagic
Stromateidae,Butterfishes,Trawl,high,destructive,400425,Medium benthopelagics (30 - 89 cm),demersal
Pseudotolithus,Croakers,Trawl,high,destructive,503152,Large demersals (>=90 cm),demersal
Oncorhynchus keta,Chum salmon,Gillnet,high,non-destructive,600241,Large benthopelagics (>=90 cm),pelagic
Megalops cyprinoides,Indo-Pacific tarpon,LonglineTuna,high,non-destructive,600227,Large pelagics (>=90 cm),pelagic
Carcharhinus limbatus,Blacktip shark,Gillnet,high,non-destructive,600874,Large sharks (>=90 cm),pelagic
Diplodus,Seabreams and porgies,Trawl,high,destructive,500705,Medium benthopelagics (30 - 89 cm),demersal
Marine fishes not identified,Marine fishes,Lines Non-tuna,low,non-destructive,100039,Medium demersals (30 - 89 cm),demersal
Scorpaenidae,Scorpionfishes or rockfishes,Gillnet,high,non-destructive,400264,Large reef assoc. fish (>=90 cm),pelagic
Clupeidae,Herrings shads sardines menhadens,Trawl midwater,high,non-destructive,400043,Small pelagics (<30 cm),pelagic
Epigonus telescopus,Bulls-eye,Trawl,high,destructive,602508,Medium bathydemersals (30 - 89 cm),demersal
Engraulis anchoita,Argentine anchoita,Seine,high,non-destructive,601659,Small pelagics (<30 cm),pelagic
Thunnus orientalis,Pacific bluefin tuna,Gillnet,high,non-destructive,614290,Large pelagics (>=90 cm),pelagic
Salmo trutta trutta,Sea trout,Gillnet,high,non-destructive,NA,NA,pelagic
Homarus americanus,American lobster,Trap,high,non-destructive,690010,"Lobsters, crabs",demersal
Glyptocephalus cynoglossus,Witch,Trawl,high,destructive,600026,Small to medium flatfishes (<90 cm),demersal
Menticirrhus saxatilis,Northern kingcroaker,Lines Non-tuna,low,non-destructive,600410,Medium demersals (30 - 89 cm),demersal
Farfantepenaeus notialis,Southern pink shrimp,Trawl,high,destructive,690378,Shrimps,demersal
Strombus,Stromboid conchs,Other,low,non-destructive,590051,Other demersal invertebrates,demersal
Clupea harengus,Atlantic herring,Purse seine Non-tuna,low,non-destructive,600024,Medium pelagics (30 - 89 cm),pelagic
Sebastes,Redfishes,Gillnet,high,non-destructive,501135,Large reef assoc. fish (>=90 cm),pelagic
Portunus,Swims crabs,Trap,high,non-destructive,590075,"Lobsters, crabs",demersal
Coregonus sardinella,Sardine cisco,Lines Non-tuna,low,non-destructive,602678,Medium pelagics (30 - 89 cm),pelagic
Centrolophidae,Medusafishes,Seine,high,non-destructive,400421,Medium pelagics (30 - 89 cm),pelagic
Ostrea lurida,Olympia flat oyster,Other,low,non-destructive,690279,Other demersal invertebrates,demersal
Prionace glauca,Blue shark,Gillnet,high,non-destructive,600898,Large sharks (>=90 cm),pelagic
Thunnus obesus,Bigeye tuna,LonglineTuna,high,non-destructive,600146,Large pelagics (>=90 cm),pelagic
Thyrsites atun,Snoek,Lines Non-tuna,low,non-destructive,600489,Large benthopelagics (>=90 cm),pelagic
Makaira nigricans,Atlantic blue marlin,Purse seine Tuna,low,non-destructive,600216,Large pelagics (>=90 cm),pelagic
Octopoda,Octopuses,Trawl,high,destructive,390007,Cephalopods,demersal
Merluccius merluccius,European hake,Seine,high,non-destructive,600030,Large demersals (>=90 cm),demersal
Sprattus sprattus,European sprat,Trawl midwater,high,non-destructive,601357,Small pelagics (<30 cm),pelagic
Teuthida,Squids,Trawl,high,destructive,390002,Cephalopods,demersal
Coryphaena,Coryphaena,Lines Non-tuna,low,non-destructive,500116,Large pelagics (>=90 cm),pelagic
Pagrus pagrus,Common seabream,Lines Non-tuna,low,non-destructive,601756,Medium benthopelagics (30 - 89 cm),pelagic
Phycis phycis,Forkbeard,Trawl,high,destructive,601747,Medium benthopelagics (30 - 89 cm),demersal
Trachurus,Jack and horse mackerels,Seine,high,non-destructive,500661,Medium pelagics (30 - 89 cm),pelagic
Synodontidae,Lizardfishes,Seine,high,non-destructive,400160,Medium demersals (30 - 89 cm),demersal
Sardinella longiceps,Indian oil sardine,Gillnet,high,non-destructive,601511,Small pelagics (<30 cm),pelagic
Malacanthidae,Tilefishes,Trawl midwater,high,non-destructive,400308,Medium demersals (30 - 89 cm),pelagic
Austroglossus,Southern soles,Trawl,high,destructive,505799,Small to medium flatfishes (<90 cm),demersal
Nemipteridae,Threadfin breams Whiptail breams,Gillnet,high,non-destructive,400324,Small reef assoc. fish (<30 cm),pelagic
Cyclopterus lumpus,Lumpsucker,Gillnet,high,non-destructive,600062,Medium benthopelagics (30 - 89 cm),pelagic
Sardinella aurita,Round sardinella,Purse seine Non-tuna,low,non-destructive,601043,Small pelagics (<30 cm),pelagic
Leiognathus,Slipmouths,Trawl,high,destructive,500515,Small benthopelagics (<30 cm),demersal
Polyprion americanus,Wreckfish,Lines Non-tuna,low,non-destructive,600349,Large bathydemersals (>=90 cm),demersal
Hemiramphus,Halfbeaks,Trawl midwater,high,non-destructive,509289,Medium pelagics (30 - 89 cm),pelagic
Sardinella,Sardinella,Gillnet,high,non-destructive,501940,Small pelagics (<30 cm),pelagic
Carangoides bajad,Orangespotted trevally,Lines Non-tuna,low,non-destructive,601923,Medium reef assoc. fish (30 - 89 cm),pelagic
Gymnocranius,Large-eye breams,Gillnet,high,non-destructive,503580,Medium reef assoc. fish (30 - 89 cm),pelagic
Pellona ditchela,Indian pellona,Trawl midwater,high,non-destructive,601641,Small pelagics (<30 cm),pelagic
Boops boops,Bogue,Trawl,high,destructive,600203,Medium demersals (30 - 89 cm),demersal
Merluccius merluccius,European hake,Trawl,high,destructive,600030,Large demersals (>=90 cm),demersal
Pecten maximus,Great Atlantic scallop,Dredge,high,destructive,690156,Other demersal invertebrates,demersal
Thunnus orientalis,Pacific bluefin tuna,Purse seine Tuna,low,non-destructive,614290,Large pelagics (>=90 cm),pelagic
Pollachius pollachius,Pollack,Trawl,high,destructive,600034,Large benthopelagics (>=90 cm),demersal
Clupea harengus,Atlantic herring,Lines Non-tuna,low,non-destructive,600024,Medium pelagics (30 - 89 cm),pelagic
Totoaba macdonaldi,Totoaba,Trawl midwater,high,non-destructive,606317,Large benthopelagics (>=90 cm),pelagic
Thunnus,Tuna,Trap,high,non-destructive,501905,Large pelagics (>=90 cm),demersal
Micropogonias undulatus,Atlantic croaker,Trawl midwater,high,non-destructive,600408,Medium demersals (30 - 89 cm),pelagic
Squaliformes,Bramble sleeper dogfish sharks,Gillnet,high,non-destructive,300009,Large sharks (>=90 cm),pelagic
Necora puber,Velvet swimcrab,Trawl,high,destructive,690425,"Lobsters, crabs",demersal
Mytilidae,Sea mussels,Other,low,non-destructive,490054,Other demersal invertebrates,demersal
Trachinotus,Pompanos,Gillnet,high,non-destructive,500598,Medium benthopelagics (30 - 89 cm),pelagic
Valamugil seheli,Bluespot mullet,Gillnet,high,non-destructive,NA,NA,pelagic
Apogonidae,Cardinalfishes,Other,low,non-destructive,400304,Small reef assoc. fish (<30 cm),pelagic
Scyllaridae,Slipper lobsters,Trap,high,non-destructive,490040,"Lobsters, crabs",demersal
Istiophorus albicans,Atlantic sailfish,Gillnet,high,non-destructive,600078,Large pelagics (>=90 cm),pelagic
Macrourus,Grenadiers,Lines Non-tuna,low,non-destructive,500327,Medium benthopelagics (30 - 89 cm),pelagic
